                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9207,                 2.5091,                   1.51,                0.24821,                0.24549,                0.17729,                0.08944,                 1.8213,                 2.3101,                 1.4549,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.9102,                 2.4972,                 1.4997,                0.26533,                  0.219,                0.18119,                0.09336,                 1.8049,                 2.2611,                  1.436,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.9033,                   2.47,                 1.4945,                0.26444,                0.24182,                0.19443,                0.09809,                 1.7916,                 2.2474,                  1.432,               0.009307,               0.009307,               0.009307
                     38,                  1.904,                 2.4472,                 1.4861,                 0.2657,                0.23768,                0.18703,                0.09451,                 1.7929,                 2.2532,                 1.4288,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.8935,                 2.4344,                 1.4859,                0.26823,                0.25122,                0.18973,                0.09644,                 1.7897,                 2.2461,                 1.4231,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.8935,                 2.4389,                  1.487,                0.28743,                0.24779,                0.19458,                0.09987,                  1.787,                  2.231,                 1.4234,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.8758,                 2.4296,                  1.479,                0.27222,                0.24532,                0.19449,                0.10078,                 1.7654,                 2.2253,                 1.4101,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.8794,                 2.4176,                 1.4854,                0.28895,                 0.2422,                0.20059,                0.10599,                 1.7525,                 2.1974,                 1.4057,               0.009208,               0.009208,               0.009208
                     43,                 1.8726,                 2.4171,                 1.4754,                0.28205,                 0.2548,                0.20291,                0.10862,                 1.7487,                 2.2096,                 1.4047,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.8723,                 2.4087,                 1.4703,                0.26958,                0.26232,                  0.205,                0.10819,                 1.7522,                 2.1943,                  1.406,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.8601,                 2.3921,                 1.4615,                0.27515,                0.25944,                0.20767,                0.10765,                  1.753,                 2.1921,                 1.4043,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.8512,                 2.3694,                 1.4562,                0.30068,                0.26965,                0.21115,                 0.1072,                 1.7343,                 2.1867,                 1.3967,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.8615,                 2.3506,                 1.4618,                0.30773,                0.26196,                0.21397,                0.11073,                 1.7413,                 2.1666,                 1.3957,               0.009109,               0.009109,               0.009109
